Name,AORUS MASTER 16 BZH,AORUS MASTER 16 BYH,AORUS MASTER 16 BXH
Webcam,"FHD (1080p) IR Webcam
Build-in array Microphone
Support Windows Hello Face Authentication","FHD (1080p) IR Webcam
Build-in array Microphone
Support Windows Hello Face Authentication","FHD (1080p) IR Webcam
Build-in array Microphone
Support Windows Hello Face Authentication"
Security,"Firmware-based TPM, supports Intel® Platform Trust Technology (Intel® PTT)","Firmware-based TPM, supports Intel® Platform Trust Technology (Intel® PTT)","Firmware-based TPM, supports Intel® Platform Trust Technology (Intel® PTT)"
Battery,Li Polymer 99Wh,Li Polymer 99Wh,Li Polymer 99Wh
Adapter,330W AC Adapter,330W AC Adapter,330W AC Adapter
Dimensions (W x D x H),"357 x 254 x 23~29.9 mm

*The dimensions of the laptop may vary according to the configuration, manufacturing process and measurement method, please refer to the actual situation.","357 x 254 x 23~29.9 mm

*The dimensions of the laptop may vary according to the configuration, manufacturing process and measurement method, please refer to the actual situation.","357 x 254 x 23~29.9 mm

*The dimensions of the laptop may vary according to the configuration, manufacturing process and measurement method, please refer to the actual situation."
Weight,"~2.5 kg

*The weight of the laptop may vary according to the configuration, manufacturing process and measurement method, please refer to the actual situation.","~2.5 kg

*The weight of the laptop may vary according to the configuration, manufacturing process and measurement method, please refer to the actual situation.","~2.5 kg

*The weight of the laptop may vary according to the configuration, manufacturing process and measurement method, please refer to the actual situation."
Color,Dark Tide,Dark Tide,Dark Tide
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
